0986F3E5-1852-488E-A61F-8A552F150494#appfire#01.1001.1005.#appfire##appfire#Buzzor.singx.web.singx.view.singx.CorridorMain#appfire##appfire#1#appfire#0#appfire#Corridor#appfire##appfire#845FEABE-B5DB-4D24-BD33-842CB02EDC55#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
0A083945-5001-4583-B1B6-1F6025A18A18#appfire#01.1001.1003.#appfire##appfire#Buzzor.singx.web.singx.view.singx.BankMain#appfire##appfire#1#appfire#0#appfire#Bank#appfire##appfire#B9086B83-F802-49A7-B8DF-5FBA459731F6#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
0B4BCA9E-A4E1-4E7B-ADF5-EFDAB46E8276#appfire#01.1001.1017.#appfire##appfire#Buzzor.singx.web.singx.view.singx.CfgDocumentMain#appfire##appfire#1#appfire#0#appfire#Document Config#appfire##appfire#50932F5E-E75E-4721-80DC-3EB391AC9540#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
0DFFAE70-4F71-4C9E-820B-758F6C114F0C#appfire#01.1001.1012.#appfire##appfire#Buzzor.singx.web.singx.view.singx.CfgMasterAddressMain#appfire##appfire#1#appfire#0#appfire#Master Address#appfire##appfire#2F490661-B29B-4E86-A2B0-328EDE70A89F#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
0F7E4819-DDF8-464E-8A53-2748CF3C6006#appfire#02.1004.1001.#appfire##appfire#Buzzor.view.usermanagement.roles.RoleManagement#appfire##appfire#1#appfire#0#appfire#Role Feature#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
1E86B8E5-2F1C-41CD-AD15-6AF5F3E697B2#appfire#01.1001.1001.#appfire##appfire#Buzzor.singx.web.singx.view.singx.AgentMain#appfire##appfire#1#appfire#0#appfire#Agent#appfire##appfire#20EDA2A7-F616-48E2-AEB8-23222AED15B4#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
333421FA-EC47-4A6F-B165-A2BCC3A83B53#appfire#01.1001.1015.#appfire##appfire#Buzzor.singx.web.singx.view.singx.CfgDocCntIndividualMain#appfire##appfire#1#appfire#0#appfire#Individual Doc Count Config#appfire##appfire#AEAD2DE2-1825-49AA-BCF4-4629A43F2734#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
35C0E265-1294-4C42-829D-C68F9B814D2B#appfire#01.1002.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Data Visualizer#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
3CC966E8-2FE3-47F5-8451-FA1C99EA3371#appfire#01.1001.1021.#appfire##appfire#Buzzor.singx.web.singx.view.singx.CustomerDocumentMain#appfire##appfire#1#appfire#0#appfire#Customer Document#appfire##appfire#76599044-E017-40B4-B7CD-C42381A98D29#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
404B4119-BE6F-47CE-BBAA-B48EBA4D6FA9#appfire#01.1001.1013.#appfire##appfire#Buzzor.singx.web.singx.view.singx.CfgCountryAddressMain#appfire##appfire#1#appfire#0#appfire#Address#appfire##appfire#1B0F8123-C83F-4F7A-A7F0-9C43818CE3DE#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
4D6FC2E3-D935-4132-9F34-3C2AE3DD07FE#appfire#02.1002.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Health Setup#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
50578F38-E044-47BF-85BF-0F15D5B28F74#appfire#01.1001.1022.#appfire##appfire#Buzzor.singx.web.singx.view.singx.CustomerBankAccountMain#appfire##appfire#1#appfire#0#appfire#Customer Bank Account#appfire##appfire#1DE5979A-E5FC-4D0D-96C6-77EF447F0E3A#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
